Code,Date,Open,High,Low,Close,Volume
ART,20260722,0.2175,0.22,0.215,0.215,81243
ARU,20260722,0.21,0.21,0.1975,0.2,31730275
ARV,20260722,0.004,0.004,0.004,0.004,1000000
ARX,20260722,0.57,0.575,0.56,0.565,48097
AS1,20260722,0.115,0.115,0.11,0.11,819595
AS2,20260722,0.008,0.008,0.008,0.008,30000
AS2OB,20260722,0.002,0.002,0.002,0.002,0
ASAO,20260722,1.395,1.405,1.395,1.405,105
ASB,20260722,3.5,3.75,3.47,3.72,1692147
ASG,20260722,1.525,1.535,1.475,1.495,223465
ASH,20260722,0.2725,0.28,0.27,0.275,20431
ASIA,20260722,20.27,20.775,20.05,20.05,209975
ASL,20260722,1.96,2.03,1.935,1.965,597086
ASM,20260722,1.04,1.09,1.04,1.085,227209
ASMO,20260722,0.49,0.49,0.49,0.49,31500
ASN,20260722,0.043,0.045,0.042,0.045,1328641
ASNO,20260722,0.008,0.008,0.008,0.008,0
ASP,20260722,1.545,1.545,1.53,1.53,3
ASQ,20260722,0.017,0.017,0.016,0.016,82951
ASUS,20260722,19.36,19.36,19.36,19.36,0
ASV,20260722,0.046,0.049,0.046,0.049,740590
ASX,20260722,56.04,57.41,56.04,56.25,963723
AT1,20260722,0.019,0.019,0.0175,0.018,764338
AT4,20260722,0.032,0.036,0.032,0.035,10923763
AT4OE,20260722,0.015,0.015,0.015,0.015,36000
ATA,20260722,0.45,0.46,0.415,0.425,264076
ATC,20260722,0.009,0.009,0.008,0.008,661498
ATCO,20260722,0.001,0.001,0.001,0.001,0
ATEC,20260722,22.35,22.35,22.04,22.05,79763
ATG,20260722,0.28,0.28,0.28,0.28,0
ATH,20260722,0.55,0.58,0.55,0.565,76784
ATHO,20260722,0.07,0.07,0.07,0.07,87143
ATHOA,20260722,0.105,0.105,0.105,0.105,0
ATM,20260722,0.9,0.9,0.9,0.9,0
ATOM,20260722,18.92,19.15,18.92,19.05,36134
ATP,20260722,0.0945,0.095,0.0945,0.0945,10763
ATR,20260722,0.58,0.6,0.57,0.6,87235
ATS,20260722,0.02,0.021,0.02,0.021,126763
ATT,20260722,0.008,0.009,0.008,0.009,20000
ATTO,20260722,0.001,0.001,0.001,0.001,0
ATV,20260722,0.018,0.018,0.018,0.018,0
ATVO,20260722,0.008,0.008,0.008,0.008,0
ATX,20260722,0.14,0.14,0.135,0.135,1053005
ATXOA,20260722,0.048,0.048,0.048,0.048,0
AU1,20260722,0.022,0.022,0.022,0.022,50
AUA,20260722,0.035,0.042,0.035,0.038,292142
AUB,20260722,28.73,28.91,28.36,28.55,338264
AUC,20260722,0.845,0.845,0.805,0.805,332967
AUDS,20260722,6.43,6.43,6.43,6.43,0
AUE,20260722,0.5,0.515,0.495,0.505,923455
AUEO,20260722,0.33,0.33,0.33,0.33,0
AUG,20260722,0.035,0.035,0.035,0.035,103016
AUI,20260722,11.1,11.25,11.1,11.23,193881
AUMF,20260722,38.14,38.32,38.14,38.24,6685
AUQ,20260722,0.041,0.045,0.041,0.044,573976
AUR,20260722,0.0135,0.0135,0.012,0.012,1152712
AUST,20260722,17.71,17.71,17.71,17.71,11
AUV,20260722,0.0085,0.0085,0.0085,0.0085,33333
AUZ,20260722,0.023,0.023,0.022,0.023,2929877
AUZOA,20260722,0.004,0.004,0.004,0.004,0
AUZOB,20260722,0.003,0.003,0.003,0.003,0
AV1,20260722,0.08,0.08,0.08,0.08,62499
AVA,20260722,0.045,0.045,0.044,0.044,451527
AVD,20260722,0.097,0.097,0.097,0.097,0
AVE,20260722,0.021,0.023,0.021,0.022,6937598
AVG,20260722,0.068,0.071,0.067,0.067,315060
AVH,20260722,1.445,1.445,1.4075,1.43,206459
AVL,20260722,0.145,0.145,0.14,0.145,146257
AVM,20260722,0.068,0.069,0.065,0.068,934710
AVMO,20260722,0.034,0.034,0.034,0.034,0
AVNG,20260722,11.46,11.46,11.46,11.46,28
AVR,20260722,11.51,12.01,11.5,11.7,24927
AVSV,20260722,12.11,12.13,12.1,12.12,24639
AVTE,20260722,11.65,11.65,11.53,11.53,1411
AVW,20260722,0.008,0.008,0.008,0.008,75000
AVWOB,20260722,0.002,0.002,0.002,0.002,0
AW1,20260722,0.03,0.031,0.03,0.031,803655
AW1O,20260722,0.003,0.003,0.003,0.003,700000
AWJ,20260722,0.23,0.2375,0.225,0.23,347813
AX1,20260722,0.74,0.74,0.72,0.725,371552
AX8,20260722,0.005,0.005,0.005,0.005,150000
AXE,20260722,0.225,0.235,0.22,0.235,718656
AXI,20260722,0.013,0.013,0.012,0.012,35000
AXL,20260722,0.065,0.065,0.064,0.064,110178
AXLO,20260722,0.01,0.01,0.01,0.01,0
AXN,20260722,0.029,0.034,0.029,0.032,344637
AXP,20260722,0.006,0.006,0.006,0.006,193000
AXQ,20260722,4.06,4.5,3.81,4,295291
AYA,20260722,5.41,5.63,5.3,5.41,237346
AYLD,20260722,10.21,10.22,10.2,10.21,35503
AYM,20260722,0.002,0.002,0.002,0.002,0
AYT,20260722,0.003,0.003,0.003,0.003,434396
AYUHD,20260722,100,100.2,100,100.2,22702
AYUHE,20260722,100.05,100.1,100.05,100.05,6432
AYUPA,20260722,69.96,69.96,69.3,69.7,3071
AZ9,20260722,0.02,0.02,0.02,0.02,2002014
